City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,daru,-9.0763,143.2092,27.4,82,92,3.51,PG,2023-04-06
244,domoni,-12.2569,44.5319,28.09,76,64,0.54,KM,2023-04-06
245,necochea,-38.5473,-58.7368,14.35,82,3,5.32,AR,2023-04-06
246,nanortalik,60.1432,-45.2371,-1.69,92,100,1.64,GL,2023-04-06
247,lagunas,-5.2269,-75.6753,21.71,98,100,0.71,PE,2023-04-06
248,hibbing,47.4272,-92.9377,-7.22,90,100,6.08,US,2023-04-06
249,cabedelo,-6.9811,-34.8339,24.37,77,50,4.22,BR,2023-04-06
250,isangel,-19.55,169.2667,26.85,82,0,4.86,VU,2023-04-06
251,zhangye,38.9342,100.4517,10.58,13,29,4.83,CN,2023-04-06
252,helong,42.5397,128.9972,5.96,89,100,1.09,CN,2023-04-06
253,clinton,42.587,-82.9199,7.06,72,0,5.66,US,2023-04-06
254,anadyr,64.75,177.4833,-14.72,85,100,2.0,RU,2023-04-06
255,matagami,49.7502,-77.6328,-0.94,93,100,5.66,CA,2023-04-06
256,padang,-0.9492,100.3543,30.03,69,90,2.12,ID,2023-04-06
257,gorontalo,0.5412,123.0595,25.91,92,99,2.03,ID,2023-04-06
258,gamba,-2.65,10.0,28.71,74,100,2.7,GA,2023-04-06
259,dingle,10.9995,122.6711,28.49,64,100,4.08,PH,2023-04-06
260,hasaki,35.7333,140.8333,19.56,75,13,13.09,JP,2023-04-06
261,kulhudhuffushi,6.6221,73.07,28.34,70,3,3.13,MV,2023-04-06
262,sistranda,63.7256,8.834,5.98,72,2,4.01,NO,2023-04-06
263,san rafael,-34.6177,-68.3301,19.01,64,99,2.62,AR,2023-04-06
264,plettenberg bay,-34.0527,23.3716,29.79,31,0,1.33,ZA,2023-04-06
265,sorsk,54.0033,90.2467,10.26,24,88,3.01,RU,2023-04-06
266,casa grande,32.8795,-111.7573,11.13,34,0,1.54,US,2023-04-06
267,norman wells,65.282,-126.8329,-15.98,85,40,1.54,CA,2023-04-06
268,tilichiki,60.4667,166.1,-4.98,96,100,3.68,RU,2023-04-06
269,kahului,20.8947,-156.47,23.8,74,0,8.75,US,2023-04-06
270,obuasi,6.206,-1.6619,28.81,63,74,1.5,GH,2023-04-06
271,nabire,-3.3667,135.4833,24.53,88,100,0.71,ID,2023-04-06
272,mayo,38.8876,-76.5119,23.09,84,0,2.57,US,2023-04-06
273,ponta do sol,32.6667,-17.1,19.51,45,3,2.25,PT,2023-04-06
274,ensley,30.5188,-87.2728,22.94,96,100,3.09,US,2023-04-06
275,namibe,-15.1961,12.1522,27.76,74,81,3.31,AO,2023-04-06
276,port blair,11.6667,92.75,32.02,55,20,2.06,IN,2023-04-06
277,mahanoro,-19.9,48.8,26.48,77,100,0.89,MG,2023-04-06
278,phalodi,27.1333,72.3667,34.14,11,2,0.84,IN,2023-04-06
279,novo aripuana,-5.1206,-60.3797,22.24,99,100,1.06,BR,2023-04-06
280,manokwari,-0.8667,134.0833,25.59,81,100,1.35,ID,2023-04-06
281,qaqortoq,60.7167,-46.0333,-2.74,91,91,1.71,GL,2023-04-06
282,faaborg,55.0951,10.2423,7.0,69,96,5.45,DK,2023-04-06
283,castro,-24.7911,-50.0119,14.52,97,100,2.85,BR,2023-04-06
284,aklavik,68.2191,-135.0107,-17.48,96,100,4.67,CA,2023-04-06
285,ostrovnoy,68.0531,39.5131,-1.82,90,37,8.68,RU,2023-04-06
286,along,28.1667,94.7667,18.65,86,98,1.5,IN,2023-04-06
287,luocheng,29.3848,104.0286,19.25,39,8,1.63,CN,2023-04-06
288,kupang,-10.1667,123.5833,29.32,84,75,2.57,ID,2023-04-06
289,barcelona,41.3888,2.159,16.29,75,20,3.09,ES,2023-04-06
290,corning,42.1428,-77.0547,17.09,100,100,1.54,US,2023-04-06
291,caraquet,47.7941,-64.9386,-1.7,97,100,3.8,CA,2023-04-06
292,sorland,67.667,12.6934,6.92,78,100,5.3,NO,2023-04-06
293,severo-kurilsk,50.6789,156.125,-0.43,66,51,4.09,RU,2023-04-06
294,antofagasta,-23.65,-70.4,18.6,86,36,2.09,CL,2023-04-06
295,soweto,-26.2678,27.8585,22.03,26,0,0.62,ZA,2023-04-06
296,san quintin,30.4833,-115.95,12.41,70,100,2.67,MX,2023-04-06
297,tarko-sale,64.9225,77.785,-20.65,82,61,10.99,RU,2023-04-06
298,burnie,-41.0667,145.9167,16.92,92,100,5.21,AU,2023-04-06
299,lazaro cardenas,17.9583,-102.2,23.11,82,100,0.82,MX,2023-04-06
300,paamiut,61.994,-49.6678,-2.48,71,31,2.0,GL,2023-04-06
301,poum,-20.2333,164.0167,26.42,65,0,6.44,NC,2023-04-06
302,sehithwa,-20.4667,22.7167,29.69,35,0,4.14,BW,2023-04-06
303,karakol,42.4907,78.3936,12.89,27,20,3.94,KG,2023-04-06
304,mehamn,71.0357,27.8492,3.97,65,20,10.29,NO,2023-04-06
305,pokhara,28.2333,83.9833,29.19,20,38,3.11,NP,2023-04-06
306,bredasdorp,-34.5322,20.0403,30.26,26,33,1.79,ZA,2023-04-06
307,varberg,57.1056,12.2508,5.78,92,100,8.43,SE,2023-04-06
308,palana,59.1167,159.9667,-12.66,92,92,3.97,RU,2023-04-06
309,beloha,-25.1667,45.05,32.56,42,67,3.68,MG,2023-04-06
310,vila franca do campo,37.7167,-25.4333,15.23,88,99,1.31,PT,2023-04-06
311,khobi,42.3156,41.8987,15.02,72,99,1.8,GE,2023-04-06
312,vanavara,60.34,102.2797,-1.53,80,100,6.47,RU,2023-04-06
313,rocha,-34.4833,-54.3333,12.36,85,17,0.96,UY,2023-04-06
314,chiredzi,-21.05,31.6667,25.92,44,0,2.9,ZW,2023-04-06
315,kandrian,-6.2167,149.55,26.61,84,99,1.35,PG,2023-04-06
316,nara,34.6851,135.8049,21.65,71,100,2.47,JP,2023-04-06
317,tabou,4.423,-7.3528,28.78,71,51,2.18,CI,2023-04-06
318,yumen,40.2833,97.2,11.73,6,4,7.22,CN,2023-04-06
319,alpena,45.0617,-83.4327,3.18,69,0,6.69,US,2023-04-06
320,hofn,64.2539,-15.2082,4.69,70,89,1.78,IS,2023-04-06
321,calatayud,41.3535,-1.6432,13.46,22,17,1.58,ES,2023-04-06
322,republic,37.12,-93.4802,4.97,64,0,3.6,US,2023-04-06
323,berlevag,70.8578,29.0864,4.0,65,100,4.63,NO,2023-04-06
